video_id,lane,detection_confidence,eff_acceleration_variance,eff_com_stability_index,eff_lateral_movement_ratio,eff_movement_smoothness,eff_path_straightness,eff_vertical_progress_rate,extraction_quality,freq_foot_frequency_hz,freq_foot_movement_amplitude,freq_hand_frequency_hz,freq_hand_movement_amplitude,freq_limb_sync_ratio,freq_movement_regularity,post_avg_body_lean,post_avg_elbow_angle,post_avg_knee_angle,post_avg_reach_ratio,post_body_lean_std,post_elbow_angle_std,post_hip_width_ratio,post_knee_angle_std,post_max_reach_ratio
Speed_finals_Chamonix_2024_race014_poses,left,1.0,0.11892939157738847,0.0002822261608466936,0.14194369513075894,0.05220165879295479,0.31819580598446334,0.0013865230616575443,0.9500235646712862,0.9316770186335405,0.029485223591854588,0.6451612903225806,0.06456212300179615,0.4507989170233352,0.2021842971686444,0.8392839480605929,104.77288082337013,131.23766310626027,0.5597177003341216,5.458878039907968,60.099097928245165,0.5819708329256841,55.151413374874934,1.5692487184366584
Speed_finals_Chamonix_2024_race014_poses,right,0.9806949806949807,0.09069936777371984,0.00024948889374922775,0.1890569604545783,0.055097025465163534,0.2807310569785422,0.0011667147868097165,0.9375266311110285,2.711864406779661,0.04327703793568656,0.5555555555555556,0.07097261696367715,0.4256866114085895,0.28434711572829896,3.921324344815226,112.50312345336653,139.18690432640105,0.560837204735056,31.429353348515985,60.16874139260837,0.5801251807511424,52.787128378424434,2.700011437783434
Speed_finals_Chamonix_2024_race015_poses,left,1.0,0.05565148061425345,0.0002896835052348101,0.0876414158866739,0.055572764169493014,0.42123427662672897,0.002108316823660609,0.9655306200635283,0.7228915662650602,0.035524494300894195,2.0,0.06352276156425235,0.7039719605274052,0.28865189013704107,0.04015221916466112,114.51659225019351,139.78525662471006,0.5114774970980522,3.8640739276352236,57.65243596943335,0.6205444500816658,52.04458569950291,1.1776196785464654
Speed_finals_Chamonix_2024_race015_poses,right,0.9925373134328358,0.05043753195172396,0.00027008657490153686,0.20622111685340147,0.05390976472262451,0.40920418438518946,0.0015571946071253882,0.9405055830855777,1.0,0.030613626101474393,1.0,0.05379939484248757,0.2652103995087094,0.34859413709265796,0.05071225585024703,128.7527732033996,142.9884003473029,0.5841999456949126,5.171417929523247,55.18947721316828,0.6058407118762892,52.9022275522318,1.9515407350503517
Speed_finals_Chamonix_2024_race016_poses,left,1.0,0.07966286152597778,0.000221407578949543,0.25883351611166444,0.051749589894887704,0.143922666683372,0.0005985258623611095,0.9452530422509875,0.6976744186046512,0.061483950497785725,0.9146341463414633,0.07515883311700934,0.5520310497623723,0.39489301005422395,0.22953477537375228,118.26269056450364,151.5691938617866,0.5975094588768874,3.9422892164854018,60.743833413948664,0.5805222274326566,45.923291354092825,1.2827595521926667
Speed_finals_Chamonix_2024_race016_poses,right,0.9962406015037594,0.0851127660417032,0.0003154411939492118,0.4697223150425585,0.05482882125376547,0.3880822028963733,0.0008987957502112669,0.9406289434402789,0.8823529411764706,0.047280108338956954,0.5882352941176471,0.05790985206934333,0.3720971166302653,0.20144204780586994,-3.6346859672237937,120.36848003896137,135.2714686541112,0.5557970250321862,4.693564238502779,57.68911246890278,0.5771091468486581,53.04811765057993,1.138840531549527
Speed_finals_Chamonix_2024_race017_poses,left,1.0,0.11859771486249877,0.00025865991440847283,0.49948458361158693,0.0553781975537442,0.13736660655205898,0.0005003523151829557,0.9528176205425081,0.5660377358490567,0.04883684082824046,0.6338028169014085,0.07656994031151715,0.6879799735327558,0.43061187577101123,-1.1777946723889126,112.38746814914411,121.93675120987345,0.5826909055669012,5.0682794611676725,61.39234749775472,0.6142522928663043,59.257140148211484,1.2604620990824638
Speed_finals_Chamonix_2024_race017_poses,right,1.0,0.06743217888315582,0.00024216676129824608,0.7595051297716541,0.05569620031505571,0.18618482107735038,0.0003932014012792308,0.9503752155666128,0.5732484076433121,0.044215563187966204,0.6428571428571428,0.06916581528877698,0.7030616481569999,0.5183396300100112,-3.395220345808665,116.86262364278058,115.5458727626923,0.5598385962944937,3.6064429691293127,58.71292611468556,0.6151024666667301,62.425635070827454,1.1358316662939751
Speed_finals_Chamonix_2024_race018_poses,left,0.9932885906040269,0.09621598231004247,0.00023201112602751382,0.4910595170037139,0.055193032433962744,0.15309329071553943,0.0005442796068059073,0.9452591147276135,0.625,0.049194529180463346,1.44,0.06560698960602482,0.39486005717788825,0.46080645276640264,-0.5276744458357236,105.23370515896801,122.88242794952062,0.5408077482784228,4.37450985939881,63.37297842162941,0.6107480657415686,60.1830234718807,1.2493136103173823
Speed_finals_Chamonix_2024_race018_poses,right,1.0,0.09085451881725451,0.00022539455051390534,0.26233156695333487,0.05083692347534781,0.1560470534453152,-0.0006765628076461425,0.9362886371352075,0.5421686746987951,0.04040415150257274,0.986842105263158,0.0738718270686905,0.7054243089667165,0.47983097311240963,-0.9584098490608344,108.065290170458,140.7231808357443,0.5316224834738488,3.786127267910193,57.22126318029709,0.5883592070240339,54.744943398544734,1.2378168278100297
Speed_finals_Chamonix_2024_race019_poses,left,0.990228013029316,0.13441692634124533,0.0001115097349555362,0.20590422075896553,0.058572982605782,0.34000945837775826,-0.0025561946569029816,0.8977683020578882,0.6185567010309279,0.06136858013707833,0.625,0.10214165544590321,0.6791953139585206,0.6304359253290135,-14.067752606434746,110.88176827654515,127.89357833740699,0.6759901766610553,13.68018291763771,52.15833513563324,0.5519546374039994,44.26875576418015,1.1400132196742372
Speed_finals_Chamonix_2024_race019_poses,right,0.9641693811074918,0.011993980145388076,0.00015874023322497459,0.2819356926865111,0.05053756898686743,0.12519922327519817,0.0005983424833021968,0.9274959856044734,0.5421686746987951,0.05853836428309618,0.8955223880597015,0.07132697944535292,0.7159750379166101,0.36842420418685917,-4.105126556609174,101.23259627279168,136.58170154970492,0.5368297184575219,14.273873133823164,55.36071528821868,0.5647108198131119,52.92587227356377,1.3239137336385554
Speed_finals_Chamonix_2024_race020_poses,left,0.9793103448275862,0.05856874080586194,0.00012070513811860079,0.14189505314555967,0.061641904418645234,0.2174681208541161,0.0014974198690274867,0.877391753954087,0.7317073170731707,0.05792242946215446,1.4634146341463414,0.02301202574520276,0.5647969113660288,0.46520062023340725,6.3640506805888855,98.35611411280722,112.20158768655438,0.6513555013837435,10.032721820067747,43.03628556334373,0.6186538845831856,41.210284600379154,2.200293460148494
