feature,count,mean,std,min,p25,median,p75,max,range,cv,skewness,kurtosis,nan_count
eff_acceleration_variance,371,0.06312132233527554,0.034600770179964095,0.0,0.03569149141662805,0.0599673791222778,0.0876987001875469,0.1925965803248126,0.1925965803248126,0.548162948744617,0.5825011099668989,0.10647181792613569,0
eff_com_stability_index,371,0.00018558353961299753,0.00011391645567249511,0.0,9.130155131314275e-05,0.0001987470056781,0.00025868177619015,0.000883050988753,0.000883050988753,0.6138284457234097,1.0904589548730952,5.207269349941903,0
eff_lateral_movement_ratio,371,1.0764693571924033,3.2195037579482753,0.0,0.15281923313679008,0.2819356926865111,0.602177547407015,38.78709662910613,38.78709662910613,2.9907992609703573,7.547256595645144,71.01803340512032,0
eff_movement_smoothness,371,0.05361439857748961,0.007966532976328275,0.0,0.0516627015619291,0.0545197161807376,0.0568485860438315,0.0662341226420269,0.0662341226420269,0.14858943096814073,-4.383692779981953,26.811311342904354,0
eff_path_straightness,371,0.21947083413176693,0.1513901331245272,0.0,0.11757985446484415,0.1872415148418256,0.292872327593085,0.8903316763228152,0.8903316763228152,0.6897961349781669,1.2301648587385074,1.904140877074279,0
eff_vertical_progress_rate,371,-5.5240784681068975e-05,0.003447540949443845,-0.0224225217182385,-0.0007051252540517499,0.0002313730228378,0.00108102856997795,0.0279911992049986,0.0504137209232371,-62.409340659227055,-0.16578056734772542,23.93014792836705,0
freq_foot_frequency_hz,371,0.7980206131468798,0.4392745885908111,0.0,0.55728088336784,0.6617647058823529,0.8823529411764706,2.711864406779661,2.711864406779661,0.5504551904475183,1.8425748135110664,4.657916180067649,0
freq_foot_movement_amplitude,371,0.07448209589737957,0.059367824194542215,0.0,0.04471127826520905,0.0599809052783909,0.08554411885717794,0.6219415175326339,0.6219415175326339,0.7970751021337853,3.9759155158019435,25.890543403071916,0
freq_hand_frequency_hz,371,0.904100949974137,0.4818549552280402,0.0,0.6000000000000001,0.703125,1.1488269794721406,3.488372093023256,3.488372093023256,0.532965876478533,2.008435774399762,6.4248718899002135,0
freq_hand_movement_amplitude,371,0.08841924807620641,0.04252301747470544,0.0,0.0631438174373193,0.0783503311388785,0.10663441098574,0.3110289338406314,0.3110289338406314,0.480924893616556,1.5496650948712067,4.487816762953497,0
freq_limb_sync_ratio,371,0.5850588296208872,0.21327504109683448,0.0,0.4540668559895442,0.5917601932017825,0.7336001039464155,0.9885619242579332,0.9885619242579332,0.3645360608180801,-0.7204264918337864,0.6958959133386657,0
freq_movement_regularity,371,0.40582627006984423,0.11887874920288613,0.0,0.33556213549565744,0.4103243648010174,0.48305299867243595,0.7132343227112459,0.7132343227112459,0.29293014762801495,-0.5853660043086872,1.5886878015152375,0
post_avg_body_lean,371,2.927917154250624,20.425520854968973,-66.72666765378217,-2.7868777445303086,-0.5722721758177298,1.7848425442811418,176.37200451960993,243.09867217339212,6.976126638459043,3.1475602392824076,21.76448709388471,0
post_avg_elbow_angle,371,119.66280036252772,17.12851811008366,37.41910888684016,109.93639372025244,118.1169535352011,128.06742296944412,174.80940621171217,137.39029732487202,0.1431398735295471,-0.05902852026314521,2.821607268765657,0
post_avg_knee_angle,371,125.69161877775454,21.51042716424228,0.0,117.90271677202846,127.91891585712636,136.71975793855674,174.51058253572754,174.51058253572754,0.17113652742651517,-2.743502032311177,14.443967284927764,0
post_avg_reach_ratio,371,0.6409483942116212,0.29917839621160314,0.1734881885729984,0.5377574651348103,0.5796901887726288,0.6520292900903666,4.785667550818983,4.6121793622459855,0.4667745467708025,8.782173416744243,107.18282993851743,0
post_body_lean_std,371,20.975923521823063,32.17347658988979,0.5221924547190525,3.930305783986351,4.971432827106387,25.51468000336955,158.92615031811843,158.40395786339937,1.5338288469833972,2.166662491632193,4.349852645787177,0
post_elbow_angle_std,371,53.532059252204355,9.878773303585874,6.249794706713034,52.328921379585395,55.849485852016464,59.07162203567239,66.64453856065377,60.39474385394074,0.18453938521296626,-2.574838702331677,7.85206990071919,0
post_hip_width_ratio,371,0.5908472860135902,0.07366778380780144,0.159215079086761,0.5743196555972285,0.600700456064587,0.6202271979152103,0.9482411027784876,0.7890260236917266,0.12468159802312606,-1.4818265662080528,10.23835715261036,0
post_knee_angle_std,371,53.366721771256906,12.595353485544566,0.0,51.66530050289248,55.93434793955488,60.43401298468656,70.01498307102554,70.01498307102554,0.23601512454767964,-2.445023523863863,6.661266446522461,0
post_max_reach_ratio,371,2.1086020369965914,7.320292525436949,0.3818976306754346,1.0868595004440387,1.1910328573916178,1.3935948444472164,133.4194949250276,133.03759729435217,3.471633052135187,16.047588603254,282.8430514439179,0
