video_id,lane,feature,value,z_score,mean,std
Speed_finals_Zilina_2025_race058_poses,left,eff_acceleration_variance,0.1635211694678449,3.0342249191338135,0.062212617766978985,0.033388609744127565
Speed_finals_Innsbruck_2024_race025_poses,left,eff_com_stability_index,0.0006938269565375,4.482418149462389,0.0001885011931415902,0.00011273507882269247
Speed_finals_Innsbruck_2024_race026_poses,right,eff_com_stability_index,0.000769813843784,5.156448700024302,0.0001885011931415902,0.00011273507882269247
Speed_finals_Zilina_2025_race032_poses,right,eff_com_stability_index,0.000883050988753,6.160902204217945,0.0001885011931415902,0.00011273507882269247
Speed_finals_Chamonix_2024_race004_poses,right,eff_lateral_movement_ratio,38.78709662910613,11.801832365017864,1.0562902512094972,3.1970295129539
Speed_finals_Seoul_2024_race002_poses,left,eff_lateral_movement_ratio,18.49853978052036,5.45576744244537,1.0562902512094972,3.1970295129539
Speed_finals_Seoul_2024_race015_poses,left,eff_lateral_movement_ratio,29.459832649321907,8.884354142814564,1.0562902512094972,3.1970295129539
Speed_finals_Zilina_2025_race013_poses,right,eff_lateral_movement_ratio,14.54643459197613,4.219587052952288,1.0562902512094972,3.1970295129539
Speed_finals_Zilina_2025_race059_poses,right,eff_lateral_movement_ratio,16.83636674756659,4.93585574747387,1.0562902512094972,3.1970295129539
Speed_finals_Innsbruck_2024_race004_poses,right,eff_movement_smoothness,0.0270850339211387,-3.593593301208841,0.05369747103088158,0.0074055227954679176
Speed_finals_Zilina_2025_race021_poses,right,eff_movement_smoothness,0.0193333441417036,-4.640337736885824,0.05369747103088158,0.0074055227954679176
Speed_finals_Zilina_2025_race041_poses,right,eff_movement_smoothness,0.0,-7.251003408394573,0.05369747103088158,0.0074055227954679176
Speed_finals_Zilina_2025_race044_poses,right,eff_movement_smoothness,0.0,-7.251003408394573,0.05369747103088158,0.0074055227954679176
Speed_finals_Zilina_2025_race050_poses,left,eff_movement_smoothness,0.0,-7.251003408394573,0.05369747103088158,0.0074055227954679176
Speed_finals_Zilina_2025_race062_poses,right,eff_movement_smoothness,0.0,-7.251003408394573,0.05369747103088158,0.0074055227954679176
Speed_finals_Innsbruck_2024_race019_poses,right,eff_path_straightness,0.8903316763228152,4.468228489418999,0.220970526267125,0.14980459294791496
Speed_finals_Innsbruck_2024_race024_poses,right,eff_path_straightness,0.796489085388384,3.841795153245796,0.220970526267125,0.14980459294791496
Speed_finals_Zilina_2025_race006_poses,right,eff_path_straightness,0.7381222787236934,3.452175546021978,0.220970526267125,0.14980459294791496
Speed_finals_Zilina_2025_race019_poses,right,eff_path_straightness,0.7081826724635572,3.252317813552147,0.220970526267125,0.14980459294791496
Speed_finals_Zilina_2025_race045_poses,right,eff_path_straightness,0.7598504097965437,3.5972187028790232,0.220970526267125,0.14980459294791496
Speed_finals_Zilina_2025_race052_poses,left,eff_path_straightness,0.6994458813952844,3.1939965638738386,0.220970526267125,0.14980459294791496
