race_id,average_velocity_ms,total_time_s
Speed_finals_Innsbruck_2024_race006,3.245906351494188,7.933333333333334
Speed_finals_Innsbruck_2024_race019,1.8826867615553873,8.933333333333334
Speed_finals_Innsbruck_2024_race026,1.6498318746822969,8.9
Speed_finals_Villars_2024_race005,1.1511462096772764,4.8
Speed_finals_Innsbruck_2024_race028,0.9434537979866369,11.933333333333334
Speed_finals_Zilina_2025_race023,0.9383164361104384,6.066666666666666
Speed_finals_Innsbruck_2024_race007,0.8901269342089545,9.933333333333334
Speed_finals_Zilina_2025_race040,0.8881638936534798,9.7
Speed_finals_Innsbruck_2024_race024,0.868796724201049,9.933333333333334
Speed_finals_Chamonix_2024_race026,0.7775050626350247,5.266666666666667
