race_id,competition,total_time_s,average_velocity_ms,max_velocity_ms,vertical_displacement_m,path_length_m,straight_distance_m,path_efficiency,smoothness_score,frames_analyzed,is_calibrated,calibration_type,calculation_date
Speed_finals_Chamonix_2024_race001,unknown,3.2333333333333334,0.5522788511862029,16.0729305624962,1.7857016188353896,11.077697431964975,2.8402411648079418,0.2563927370513257,0.25926891302388944,98,True,simplified_fixed_scale,2025-11-17T14:19:35.139471
Speed_finals_Chamonix_2024_race002,unknown,7.366666666666666,0.2648121875057649,41.936778996301776,1.9507831146258015,29.584581925663215,2.7413967184092987,0.09266302039682595,0.20893132216217514,222,True,simplified_fixed_scale,2025-11-17T14:19:35.268317
Speed_finals_Chamonix_2024_race003,unknown,6.6,0.503065340680542,11.646367064837724,3.3202312484915772,25.49144213076767,3.334618713897724,0.13081326261541337,0.28944908288538607,199,True,simplified_fixed_scale,2025-11-17T14:19:35.415816
Speed_finals_Chamonix_2024_race004,unknown,6.7,0.3243949353250105,16.59692887933216,2.1734460666775703,28.533341327207378,2.6295144076978447,0.09215585295615293,0.24462889408929078,202,True,simplified_fixed_scale,2025-11-17T14:19:35.564191
Speed_finals_Chamonix_2024_race005,unknown,6.333333333333333,0.24733126714735137,11.917294327701816,1.566431358599892,23.60633400444237,1.862522345776412,0.07889926260578674,0.28752949460710425,191,True,simplified_fixed_scale,2025-11-17T14:19:35.685449
Speed_finals_Chamonix_2024_race006,unknown,7.4,0.23299659224780844,29.295194149017348,1.7241747826337825,30.86522915803691,2.1387956778141306,0.06929466380641518,0.22786043360786723,223,True,simplified_fixed_scale,2025-11-17T14:19:35.801549
Speed_finals_Chamonix_2024_race007,unknown,6.0,0.5443174865628992,31.54163845947811,3.2659049193773955,33.960876424457375,13.445375745723311,0.39590779630293776,0.23762053278978107,181,True,simplified_fixed_scale,2025-11-17T14:19:35.904200
Speed_finals_Chamonix_2024_race008,unknown,5.933333333333334,0.40850431508897417,12.951940623196599,2.4237922695279135,22.293133929147295,3.354766889316933,0.15048431054956893,0.2843089428215039,179,True,simplified_fixed_scale,2025-11-17T14:19:36.009804
Speed_finals_Chamonix_2024_race009,unknown,6.133333333333334,0.02791343921749743,26.85667699227597,0.17120242720065093,31.372922783025583,1.115616440822419,0.03555985040150696,0.18841388449077712,185,True,simplified_fixed_scale,2025-11-17T14:19:36.145111
Speed_finals_Chamonix_2024_race011,unknown,4.866666666666666,0.6710319460264966,138.65625858306933,3.2656888039956167,43.77998466763714,16.401779329621572,0.37464104782444174,0.07775519276099221,147,True,simplified_fixed_scale,2025-11-17T14:19:36.257368
Speed_finals_Chamonix_2024_race012,unknown,5.2,0.3492763590245452,18.556975549267218,1.816237066927635,23.10409408422683,1.8955384622661358,0.0820434012844598,0.22692993387618443,157,True,simplified_fixed_scale,2025-11-17T14:19:36.376175
Speed_finals_Chamonix_2024_race014,unknown,5.633333333333334,0.12237523839222363,16.541173046285486,0.6893805096095265,25.024855805698273,1.3821388048977654,0.05523064011354048,0.23060216223013233,170,True,simplified_fixed_scale,2025-11-17T14:19:36.511163
Speed_finals_Chamonix_2024_race015,unknown,5.933333333333334,0.3588097770455786,13.62249590110481,2.128938010470433,23.68371098497633,2.354025666509665,0.09939429120727457,0.2670352173037873,179,True,simplified_fixed_scale,2025-11-17T14:19:36.635505
Speed_finals_Chamonix_2024_race016,unknown,5.833333333333333,0.10298244442258571,17.15185595410219,0.6007309257984166,37.3059471229412,9.244281041647723,0.2477964441214515,0.2264809324361489,176,True,simplified_fixed_scale,2025-11-17T14:19:36.767382
Speed_finals_Chamonix_2024_race017,unknown,4.966666666666667,0.17847766340750412,15.699900984764088,0.8864390615906038,21.13331746975967,1.4720814440912462,0.06965690295419515,0.23624346375408262,150,True,simplified_fixed_scale,2025-11-17T14:19:36.875569
Speed_finals_Chamonix_2024_race018,unknown,6.933333333333334,0.5977689488497855,23.60761284828186,4.1445313786918465,34.240545089865705,4.330540728654774,0.1264740592560397,0.18748159901766265,209,True,simplified_fixed_scale,2025-11-17T14:19:36.998356
Speed_finals_Chamonix_2024_race019,unknown,7.233333333333333,0.46054939649278115,23.634302504360676,3.331307301297784,31.423562873540597,3.3332272855830567,0.10607413611871858,0.20862537706426215,218,True,simplified_fixed_scale,2025-11-17T14:19:37.233509
Speed_finals_Chamonix_2024_race020,unknown,5.133333333333334,0.1995258769383292,12.014080148759144,1.02423283495009,20.551589066451385,1.0243140475338872,0.04984111176132786,0.2629315602658095,155,True,simplified_fixed_scale,2025-11-17T14:19:37.376388
Speed_finals_Chamonix_2024_race021,unknown,5.466666666666667,0.13262709757176827,164.21579553558013,0.7250281333923332,57.46043903402483,0.9293140923301332,0.016173111586910184,0.06976414022479971,165,True,simplified_fixed_scale,2025-11-17T14:19:37.499359
Speed_finals_Chamonix_2024_race022,unknown,4.7,0.6646908595931567,62.84985262155536,3.124047040087836,24.79262236809179,3.1340012520531593,0.12640862291705907,0.13824782213514902,142,True,simplified_fixed_scale,2025-11-17T14:19:37.642701
Speed_finals_Chamonix_2024_race023,unknown,5.966666666666667,0.014416809430759167,261.7807937264452,0.08602029627019636,48.30700435848662,10.624121907372876,0.21992922244838847,0.04854061496081409,180,True,simplified_fixed_scale,2025-11-17T14:19:37.782394
Speed_finals_Chamonix_2024_race025,unknown,7.5,0.45287105468859573,194.6306116764343,3.396532910164468,54.380984698260946,12.962646679264148,0.23836726663168867,0.06888393533706545,226,True,simplified_fixed_scale,2025-11-17T14:19:37.960449
